Date,Open,High,Low,Close,Volume,Adj Close
2016-12-01,1740000.00,1753000.00,1733000.00,1749000.00,310700,1749000.00
2016-11-30,1677000.00,1747000.00,1677000.00,1746000.00,570700,1746000.00
2016-11-29,1690000.00,1698000.00,1669000.00,1677000.00,361600,1677000.00
2016-11-28,1650000.00,1681000.00,1640000.00,1677000.00,265800,1677000.00
2016-11-25,1641000.00,1652000.00,1633000.00,1650000.00,125500,1650000.00
2016-11-24,1649000.00,1652000.00,1633000.00,1650000.00,155100,1650000.00
2016-11-23,1661000.00,1661000.00,1626000.00,1649000.00,253300,1649000.00
2016-11-22,1607000.00,1645000.00,1600000.00,1640000.00,195000,1640000.00
2016-11-21,1565000.00,1606000.00,1565000.00,1593000.00,163600,1593000.00
2016-11-18,1582000.00,1588000.00,1570000.00,1586000.00,189200,1586000.00
2016-11-17,1555000.00,1576000.00,1545000.00,1568000.00,157400,1568000.00
2016-11-16,1540000.00,1564000.00,1540000.00,1558000.00,266100,1558000.00
2016-11-15,1553000.00,1581000.00,1539000.00,1539000.00,273300,1539000.00
2016-11-14,1595000.00,1596000.00,1552000.00,1553000.00,302600,1553000.00
2016-11-11,1585000.00,1618000.00,1585000.00,1598000.00,256700,1598000.00
2016-11-10,1630000.00,1650000.00,1618000.00,1649000.00,235900,1649000.00
2016-11-09,1646000.00,1657000.00,1591000.00,1596000.00,313600,1596000.00
2016-11-08,1649000.00,1649000.00,1635000.00,1644000.00,108300,1644000.00
2016-11-07,1647000.00,1650000.00,1634000.00,1640000.00,153200,1640000.00
2016-11-04,1605000.00,1634000.00,1605000.00,1627000.00,142000,1627000.00
2016-11-03,1630000.00,1640000.00,1606000.00,1616000.00,206800,1616000.00
2016-11-02,1640000.00,1652000.00,1631000.00,1643000.00,201900,1643000.00
2016-11-01,1630000.00,1652000.00,1612000.00,1652000.00,206900,1652000.00
2016-10-31,1616000.00,1639000.00,1611000.00,1639000.00,241300,1639000.00
2016-10-28,1580000.00,1614000.00,1580000.00,1614000.00,204200,1614000.00
2016-10-27,1571000.00,1617000.00,1556000.00,1573000.00,282300,1573000.00
2016-10-26,1597000.00,1599000.00,1562000.00,1567000.00,210600,1567000.00
2016-10-25,1600000.00,1604000.00,1592000.00,1597000.00,197300,1597000.00
2016-10-24,1593000.00,1608000.00,1590000.00,1608000.00,185700,1608000.00
2016-10-21,1606000.00,1613000.00,1588000.00,1589000.00,209500,1589000.00
2016-10-20,1626000.00,1651000.00,1609000.00,1620000.00,206600,1620000.00
2016-10-19,1579000.00,1643000.00,1575000.00,1625000.00,308800,1625000.00
2016-10-18,1572000.00,1595000.00,1572000.00,1589000.00,207600,1589000.00
2016-10-17,1565000.00,1602000.00,1538000.00,1590000.00,255700,1590000.00
2016-10-14,1548000.00,1588000.00,1547000.00,1577000.00,283100,1577000.00
2016-10-13,1550000.00,1581000.00,1545000.00,1557000.00,437200,1557000.00
2016-10-12,1495000.00,1545000.00,1494000.00,1535000.00,781700,1535000.00
2016-10-11,1600000.00,1625000.00,1545000.00,1545000.00,768500,1545000.00
2016-10-10,1650000.00,1689000.00,1628000.00,1680000.00,505800,1680000.00
2016-10-07,1700000.00,1716000.00,1690000.00,1706000.00,521000,1706000.00
2016-10-06,1696000.00,1700000.00,1667000.00,1691000.00,591100,1691000.00
2016-10-05,1601000.00,1626000.00,1597000.00,1619000.00,249400,1619000.00
2016-10-04,1610000.00,1624000.00,1606000.00,1614000.00,261000,1614000.00
2016-10-03,1598000.00,1598000.00,1598000.00,1598000.00,000,1598000.00
2016-09-30,1590000.00,1615000.00,1585000.00,1598000.00,235200,1598000.00
2016-09-29,1573000.00,1619000.00,1572000.00,1600000.00,227900,1600000.00
2016-09-28,1554000.00,1573000.00,1554000.00,1567000.00,174100,1567000.00
2016-09-27,1550000.00,1575000.00,1533000.00,1569000.00,196600,1569000.00
2016-09-26,1571000.00,1596000.00,1564000.00,1568000.00,290400,1568000.00
2016-09-23,1582000.00,1598000.00,1566000.00,1571000.00,365900,1571000.00
2016-09-22,1600000.00,1641000.00,1599000.00,1618000.00,228500,1618000.00
2016-09-21,1595000.00,1601000.00,1576000.00,1592000.00,210100,1592000.00
2016-09-20,1559000.00,1588000.00,1559000.00,1585000.00,258400,1585000.00
2016-09-19,1538000.00,1569000.00,1536000.00,1558000.00,448100,1558000.00
2016-09-16,1527000.00,1527000.00,1527000.00,1527000.00,000,1527000.00
2016-09-15,1527000.00,1527000.00,1527000.00,1527000.00,000,1527000.00
2016-09-14,1527000.00,1527000.00,1527000.00,1527000.00,000,1527000.00
2016-09-13,1508000.00,1549000.00,1495000.00,1527000.00,494300,1527000.00
2016-09-12,1490000.00,1506000.00,1456000.00,1465000.00,529900,1465000.00
2016-09-09,1611000.00,1618000.00,1564000.00,1575000.00,265100,1575000.00
2016-09-08,1623000.00,1639000.00,1614000.00,1639000.00,241400,1639000.00
2016-09-07,1648000.00,1652000.00,1621000.00,1621000.00,191800,1621000.00
2016-09-06,1607000.00,1645000.00,1597000.00,1643000.00,153200,1643000.00
2016-09-05,1590000.00,1615000.00,1585000.00,1606000.00,167600,1606000.00
2016-09-02,1595000.00,1613000.00,1588000.00,1597000.00,163000,1597000.00
2016-09-01,1583000.00,1588000.00,1563000.00,1587000.00,375800,1587000.00
2016-08-31,1641000.00,1641000.00,1611000.00,1620000.00,410600,1620000.00
2016-08-30,1647000.00,1671000.00,1633000.00,1645000.00,156900,1645000.00
2016-08-29,1602000.00,1640000.00,1597000.00,1640000.00,178500,1640000.00
2016-08-26,1606000.00,1623000.00,1603000.00,1612000.00,241100,1612000.00
2016-08-25,1630000.00,1659000.00,1622000.00,1639000.00,283400,1639000.00
2016-08-24,1680000.00,1682000.00,1636000.00,1653000.00,318700,1653000.00
2016-08-23,1665000.00,1694000.00,1657000.00,1687000.00,230900,1687000.00
2016-08-22,1674000.00,1692000.00,1659000.00,1665000.00,252200,1665000.00
2016-08-19,1638000.00,1675000.00,1636000.00,1675000.00,336100,1675000.00
2016-08-18,1567000.00,1644000.00,1566000.00,1640000.00,366500,1640000.00
2016-08-17,1569000.00,1570000.00,1551000.00,1566000.00,148900,1566000.00
2016-08-16,1545000.00,1576000.00,1545000.00,1568000.00,216800,1568000.00
2016-08-15,1545000.00,1545000.00,1545000.00,1545000.00,000,1545000.00
2016-08-12,1559000.00,1570000.00,1544000.00,1545000.00,209400,1545000.00
2016-08-11,1541000.00,1559000.00,1526000.00,1559000.00,210600,1559000.00
2016-08-10,1567000.00,1570000.00,1534000.00,1541000.00,246800,1541000.00
2016-08-09,1574000.00,1579000.00,1557000.00,1567000.00,180400,1567000.00
2016-08-08,1566000.00,1575000.00,1556000.00,1569000.00,222500,1569000.00
2016-08-05,1529000.00,1564000.00,1525000.00,1561000.00,139100,1561000.00
2016-08-04,1519000.00,1533000.00,1517000.00,1517000.00,140100,1517000.00
2016-08-03,1548000.00,1548000.00,1517000.00,1517000.00,150000,1517000.00
2016-08-02,1568000.00,1568000.00,1546000.00,1548000.00,166300,1548000.00
2016-08-01,1569000.00,1580000.00,1560000.00,1568000.00,230300,1568000.00
2016-07-29,1520000.00,1557000.00,1511000.00,1539000.00,299700,1539000.00
2016-07-28,1533000.00,1536000.00,1498000.00,1507000.00,190000,1507000.00
2016-07-27,1512000.00,1529000.00,1512000.00,1527000.00,126700,1527000.00
2016-07-26,1500000.00,1531000.00,1498000.00,1530000.00,144500,1530000.00
2016-07-25,1500000.00,1523000.00,1495000.00,1502000.00,154600,1502000.00
2016-07-22,1506000.00,1528000.00,1506000.00,1516000.00,171700,1516000.00
2016-07-21,1540000.00,1547000.00,1537000.00,1543000.00,170800,1543000.00
2016-07-20,1533000.00,1542000.00,1524000.00,1540000.00,155400,1540000.00
2016-07-19,1528000.00,1540000.00,1522000.00,1533000.00,202400,1533000.00
2016-07-18,1518000.00,1533000.00,1500000.00,1533000.00,231300,1533000.00
2016-07-15,1500000.00,1522000.00,1486000.00,1518000.00,232400,1518000.00
2016-07-14,1481000.00,1500000.00,1476000.00,1500000.00,248600,1500000.00
2016-07-13,1496000.00,1496000.00,1463000.00,1481000.00,200100,1481000.00
2016-07-12,1499000.00,1505000.00,1460000.00,1464000.00,220400,1464000.00
2016-07-11,1460000.00,1500000.00,1460000.00,1489000.00,281100,1489000.00
2016-07-08,1450000.00,1475000.00,1449000.00,1460000.00,269900,1460000.00
2016-07-07,1421000.00,1450000.00,1416000.00,1450000.00,229900,1450000.00
2016-07-06,1447000.00,1452000.00,1412000.00,1421000.00,334900,1421000.00
